,std
US_Stock_STLD_adj_close,39.51672644007009
US_Stock_STLD_adj_open,39.51617651937753
US_Stock_NUGT_adj_high,39.373637464009406
US_Stock_STLD_adj_low,38.997924353873465
US_Stock_NUGT_adj_open,38.159837228589986
US_Stock_NUGT_adj_close,38.0904015762024
US_Stock_NUGT_adj_low,36.72770901389257
US_Stock_CVX_adj_high,32.15834671983249
US_Stock_CVX_adj_open,31.941224855758502
US_Stock_CVX_adj_close,31.938643288497126
US_Stock_CVX_adj_low,31.686646755333825
US_Stock_RSP_adj_high,30.46994328793765
US_Stock_RSP_adj_open,30.37723361585262
US_Stock_RSP_adj_close,30.37407945419414
US_Stock_RSP_adj_low,30.26428064348334
US_Stock_FNV_adj_high,30.186112340973093
US_Stock_EOG_adj_high,30.150740535366022
US_Stock_EOG_adj_open,29.968484156220324
US_Stock_EOG_adj_close,29.939718141955893
US_Stock_FNV_adj_open,29.832442188175946
US_Stock_FNV_adj_close,29.819380997973415
US_Stock_EOG_adj_low,29.75264861268982
US_Stock_COP_adj_high,29.74260040097274
US_Stock_COP_adj_open,29.484593400505013
US_Stock_COP_adj_close,29.45698673737885
US_Stock_FNV_adj_low,29.42390986835365
US_Stock_COP_adj_low,29.194001831041334
US_Stock_MS_adj_high,28.980721004811205
US_Stock_MS_adj_close,28.725690039283453
US_Stock_MS_adj_open,28.697051574223806
US_Stock_MS_adj_low,28.423428857276555
US_Stock_VTV_adj_high,28.4136533291879
US_Stock_VTV_adj_close,28.34520606255
US_Stock_VTV_adj_open,28.330038484361726
US_Stock_VTV_adj_low,28.25102977074058
US_Stock_XOM_adj_high,27.760743576379998
US_Stock_XOM_adj_close,27.544335013455093
US_Stock_XOM_adj_open,27.523460710622683
US_Stock_XOM_adj_low,27.3007380723915
US_Stock_SCCO_adj_high,26.336482959241557
US_Stock_SCCO_adj_open,26.008127940836985
US_Stock_SCCO_adj_close,26.00467168193798
US_Stock_SCCO_adj_low,25.654572247807845
FX_CHFJPY,24.91744087550151
FX_GBPJPY,21.196703901237576
US_Stock_RY_adj_high,21.089785417375165
US_Stock_RY_adj_close,20.980594820880007
US_Stock_RY_adj_open,20.94577842888913
US_Stock_RY_adj_low,20.833335301294635
US_Stock_XLE_adj_high,20.480061076313422
US_Stock_VYM_adj_high,20.427910789594794
US_Stock_VYM_adj_close,20.37694260083416
US_Stock_VYM_adj_open,20.35675875492225
US_Stock_XLE_adj_close,20.356313307300976
US_Stock_XLE_adj_open,20.350255943003702
US_Stock_VYM_adj_low,20.298934642099102
US_Stock_XLE_adj_low,20.221559227300304
US_Stock_OKE_adj_high,19.962700144378996
US_Stock_OKE_adj_open,19.82989985523701
US_Stock_OKE_adj_close,19.828754060016518
US_Stock_OKE_adj_low,19.693699415623897
US_Stock_AEM_adj_high,19.655770265142277
US_Stock_AEM_adj_close,19.45963412015862
US_Stock_AEM_adj_open,19.408871162191055
US_Stock_AEM_adj_low,19.159567842912505
US_Stock_ACWI_adj_high,19.127685940614946
US_Stock_ACWI_adj_close,19.087094687685354
US_Stock_ACWI_adj_open,19.08342064645181
US_Stock_VT_adj_high,19.064651440943003
US_Stock_ACWI_adj_low,19.024092294074798
US_Stock_VT_adj_close,19.023996754238567
US_Stock_VT_adj_open,19.016254571120005
US_Stock_VT_adj_low,18.9608084093109
FX_USDJPY,18.301781474314872
US_Stock_OXY_adj_high,17.5708978954399
US_Stock_OXY_adj_open,17.485739697203098
US_Stock_OXY_adj_close,17.475667947262405
US_Stock_OXY_adj_low,17.381527437820978
US_Stock_WPM_adj_high,16.616450733606353
US_Stock_WPM_adj_close,16.440697598170573
US_Stock_WPM_adj_open,16.411846158179113
FX_EURJPY,16.26589947265901
US_Stock_CCJ_adj_high,16.24491068945792
US_Stock_WPM_adj_low,16.191731493496796
US_Stock_CCJ_adj_close,15.963190999009267
US_Stock_CCJ_adj_open,15.954709019084879
US_Stock_CCJ_adj_low,15.652835364172649
US_Stock_DVN_adj_high,15.482455463250792
US_Stock_XLB_adj_high,15.454071879785314
US_Stock_XLB_adj_close,15.405022979143824
US_Stock_XLB_adj_open,15.404261924877037
US_Stock_XLB_adj_low,15.34324703232404
US_Stock_DVN_adj_open,15.282649271727076
US_Stock_DVN_adj_close,15.268502432618916
US_Stock_DVN_adj_low,15.048245027809687
US_Stock_FCX_adj_high,13.73224506656758
US_Stock_LYB_adj_open,13.659880970498897
US_Stock_LYB_adj_low,13.659865478008523
US_Stock_LYB_adj_close,13.655762539962463
US_Stock_LYB_adj_high,13.642146656694546
US_Stock_FCX_adj_close,13.5568310352543
US_Stock_FCX_adj_open,13.555844331713883
US_Stock_FCX_adj_low,13.364452167778463
US_Stock_SHEL_adj_high,13.173132385145957
US_Stock_SHEL_adj_close,13.164783641398056
US_Stock_SHEL_adj_open,13.146758288122218
US_Stock_SHEL_adj_low,13.131601186998273
US_Stock_RIO_adj_high,13.06795357981179
US_Stock_RIO_adj_close,12.997272510087399
US_Stock_RIO_adj_open,12.996696966072593
US_Stock_RIO_adj_low,12.899547385276206
US_Stock_WMB_adj_high,12.627158341098216
US_Stock_WMB_adj_close,12.514794950456599
US_Stock_WMB_adj_open,12.496656287466013
US_Stock_WMB_adj_low,12.364559409757824
US_Stock_SLB_adj_high,12.215447128224378
US_Stock_SLB_adj_open,12.148635573440721
US_Stock_SLB_adj_close,12.14291806338461
US_Stock_SLB_adj_low,12.075483806629144
US_Stock_TECK_adj_high,11.929001078237937
FX_CADJPY,11.809363903273065
US_Stock_TECK_adj_open,11.779109431201038
US_Stock_TECK_adj_close,11.773844577596456
US_Stock_TECK_adj_low,11.634538759388843
US_Stock_X_adj_high,11.219975013583413
US_Stock_NEM_adj_high,11.127246021959959
US_Stock_X_adj_close,11.099320176770698
US_Stock_X_adj_open,11.08876124546645
US_Stock_NEM_adj_close,10.966810587497694
US_Stock_X_adj_low,10.965386252861881
US_Stock_NEM_adj_open,10.952466844710862
US_Stock_NEM_adj_low,10.77818872735196
US_Stock_VGLT_adj_high,10.77526605535959
US_Stock_VGLT_adj_open,10.71508682614137
US_Stock_VGLT_adj_close,10.706323855180097
US_Stock_VGLT_adj_low,10.64639900574212
US_Stock_EWT_adj_high,10.41367826844963
US_Stock_EWT_adj_open,10.365832841701197
US_Stock_EWT_adj_close,10.357480072882725
US_Stock_EWT_adj_low,10.293517772179843
US_Stock_EFA_adj_close,10.075408079121456
US_Stock_EFA_adj_high,10.073648702015145
US_Stock_EFA_adj_open,10.060249420950624
US_Stock_EFA_adj_low,10.057907391910938
US_Stock_EWY_adj_high,9.768638641804923
US_Stock_EWY_adj_close,9.766669814900657
US_Stock_EWY_adj_open,9.760148895267823
US_Stock_EWY_adj_low,9.743627742663971
US_Stock_TD_adj_high,9.536164839188274
US_Stock_GDXJ_adj_high,9.524462140659336
US_Stock_VGK_adj_high,9.497152908930216
US_Stock_VGK_adj_close,9.49468032602656
US_Stock_TD_adj_close,9.492563759384884
US_Stock_VGK_adj_open,9.481739004428702
US_Stock_TD_adj_open,9.477515295235115
US_Stock_VGK_adj_low,9.474609786206152
US_Stock_GDXJ_adj_close,9.428051802991371
US_Stock_TD_adj_low,9.427343782639655
US_Stock_GDXJ_adj_open,9.41701178381099
FX_AUDJPY,9.354910201867174
US_Stock_IAU_adj_high,9.284229223386948
US_Stock_GDXJ_adj_low,9.278529411419722
US_Stock_IAU_adj_close,9.246403167714764
US_Stock_IAU_adj_open,9.238782288260246
US_Stock_HAL_adj_high,9.2359647304449
US_Stock_IAU_adj_low,9.185086201398056
US_Stock_HAL_adj_open,9.168679222135106
US_Stock_HAL_adj_close,9.167365985327596
US_Stock_HAL_adj_low,9.091319875261503
US_Stock_SPYV_adj_high,8.961706594967835
US_Stock_SPYV_adj_close,8.943566872488873
US_Stock_SPYV_adj_open,8.937177377376862
US_Stock_SPYV_adj_low,8.915283515192943
US_Stock_GOLD_adj_high,8.589983708815724
US_Stock_GOLD_adj_open,8.529342771661831
US_Stock_GOLD_adj_close,8.475429209883933
US_Stock_LQD_adj_close,8.464248304941169
US_Stock_LQD_adj_high,8.462580683076215
US_Stock_LQD_adj_open,8.456699716546145
US_Stock_LQD_adj_low,8.452441974896532
US_Stock_GOLD_adj_low,8.361505899413793
US_Stock_BKR_adj_high,8.054458159578333
US_Stock_BKR_adj_close,7.9998383400658915
US_Stock_BKR_adj_open,7.997223081651302
US_Stock_BKR_adj_low,7.935008953653008
FX_NZDJPY,7.749471503973053
US_Stock_URA_adj_high,7.729565653885617
US_Stock_GDX_adj_high,7.651968776724123
US_Stock_JNK_adj_low,7.618495153737753
US_Stock_URA_adj_open,7.60984956485114
US_Stock_JNK_adj_open,7.594907347905
US_Stock_JNK_adj_close,7.594640138840002
US_Stock_URA_adj_close,7.590501406656518
US_Stock_GDX_adj_close,7.57665028470907
US_Stock_JNK_adj_high,7.568609731219657
US_Stock_GDX_adj_open,7.564584759984834
US_Stock_EWJ_adj_high,7.549361887536076
US_Stock_EWJ_adj_close,7.546348186958081
US_Stock_EWJ_adj_open,7.536563793221548
US_Stock_EWJ_adj_low,7.528321402509459
US_Stock_GDX_adj_low,7.4644466997220835
US_Stock_URA_adj_low,7.442108365223197
US_Stock_VXUS_adj_close,7.327728800214967
US_Stock_VXUS_adj_low,7.3222146862757205
US_Stock_VXUS_adj_high,7.3215764103328596
US_Stock_VXUS_adj_open,7.3198261543985295
US_Stock_IEF_adj_open,7.218777432090148
US_Stock_IEF_adj_low,7.217668137498948
US_Stock_IEF_adj_high,7.217035974000746
US_Stock_IEF_adj_close,7.215438167913804
US_Stock_TIP_adj_high,6.9537199497327995
US_Stock_ENB_adj_high,6.937066342565008
US_Stock_TIP_adj_open,6.9292215698655815
US_Stock_TIP_adj_close,6.928530613402473
US_Stock_ENB_adj_close,6.922918890781184
US_Stock_ENB_adj_open,6.905279882567061
US_Stock_TIP_adj_low,6.899990191740386
US_Stock_ENB_adj_low,6.88703722947105
US_Stock_FXI_adj_high,6.451861189383019
US_Stock_FXI_adj_close,6.447010101949165
US_Stock_FXI_adj_open,6.446765866139762
US_Stock_EMB_adj_low,6.439536692996553
US_Stock_FXI_adj_low,6.428835751058175
US_Stock_EMB_adj_open,6.399093489985601
US_Stock_VEA_adj_high,6.3980117701553185
US_Stock_VEA_adj_close,6.397304563512831
US_Stock_EMB_adj_close,6.397175130027228
US_Stock_VEA_adj_open,6.3909739557915755
US_Stock_VEA_adj_low,6.38524187037724
US_Stock_EMB_adj_high,6.3440105357176355
US_Stock_PAAS_adj_high,6.111486492502944
US_Stock_CLF_adj_high,6.092110861394588
US_Stock_PAAS_adj_open,6.0014014858395015
US_Stock_PAAS_adj_close,5.986642893526542
US_Stock_CLF_adj_close,5.9615438407577415
US_Stock_CLF_adj_open,5.959474033316253
US_Stock_IEMG_adj_close,5.9508109405668
US_Stock_IEMG_adj_low,5.948872760125186
US_Stock_IEMG_adj_open,5.947315036491486
US_Stock_IEMG_adj_high,5.9349733119004435
US_Stock_PAAS_adj_low,5.851989400654899
US_Stock_CLF_adj_low,5.827116427314747
US_Stock_BP_adj_low,5.578037839219163
US_Stock_BP_adj_close,5.577671584207696
US_Stock_BP_adj_open,5.571537959593898
US_Stock_BP_adj_high,5.570409589596376
US_Stock_VCIT_adj_open,5.498402909102587
US_Stock_VCIT_adj_close,5.497148904909467
US_Stock_VCIT_adj_low,5.492945197182953
US_Stock_VCIT_adj_high,5.492931808372942
US_Stock_AGG_adj_open,5.459354335318694
US_Stock_AGG_adj_low,5.456815990465196
US_Stock_AGG_adj_close,5.455786375406457
US_Stock_AGG_adj_high,5.450501702060004
US_Stock_CVE_adj_high,5.201164298429753
US_Stock_CVE_adj_open,5.143304804644417
US_Stock_CVE_adj_close,5.137956794496005
US_Stock_SPTL_adj_high,5.134827830717735
US_Stock_SPTL_adj_open,5.104431808294451
US_Stock_SPTL_adj_close,5.102937204606968
US_Stock_SLV_adj_high,5.090908500499994
US_Stock_CVE_adj_low,5.077479969622774
US_Stock_SPTL_adj_low,5.073614171173696
US_Stock_SLV_adj_open,5.04159805787104
US_Stock_SLV_adj_close,5.041228597282654
US_Stock_SLV_adj_low,4.974895031309182
US_Stock_EEM_adj_close,4.876138744227558
US_Stock_EEM_adj_open,4.874833706864734
US_Stock_EEM_adj_high,4.871241633633253
US_Stock_EEM_adj_low,4.866123601046853
US_Stock_VWO_adj_low,4.853382254848931
US_Stock_VWO_adj_close,4.85246885878979
US_Stock_VWO_adj_open,4.851110235923706
US_Stock_VWO_adj_high,4.84115276888201
US_Stock_KMI_adj_high,4.662353932481647
US_Stock_KMI_adj_close,4.628357975472944
US_Stock_KMI_adj_open,4.618740128648699
US_Stock_KMI_adj_low,4.5834074802376055
US_Stock_MBB_adj_low,4.509322494035006
US_Stock_MBB_adj_close,4.473765499572714
US_Stock_MBB_adj_open,4.468580108776843
US_Stock_MBB_adj_high,4.430805263680117
US_Stock_BND_adj_low,4.092486965476639
US_Stock_BND_adj_open,4.092252091198024
US_Stock_BND_adj_close,4.089298909611013
US_Stock_BND_adj_high,4.086227443241973
US_Stock_VCSH_adj_low,3.864697722172034
US_Stock_VCSH_adj_open,3.8628133470153356
US_Stock_VCSH_adj_close,3.8627386354146815
US_Stock_VCSH_adj_high,3.858542297271362
US_Stock_EWZ_adj_low,3.401706340121424
US_Stock_EWZ_adj_close,3.37897982582708
US_Stock_EWZ_adj_open,3.3687429009976433
US_Stock_EWZ_adj_high,3.341566610250274
US_Stock_AG_adj_high,3.218529577049331
US_Stock_AG_adj_open,3.1540196278103174
US_Stock_AG_adj_close,3.1401619697778744
US_Stock_AG_adj_low,3.066771379850436
US_Stock_VGIT_adj_low,3.063321222615157
US_Stock_VGIT_adj_close,3.0598469100058523
US_Stock_VGIT_adj_open,3.05982457929041
US_Stock_BSV_adj_open,3.0598145271477866
US_Stock_BSV_adj_high,3.059641603484115
US_Stock_BSV_adj_close,3.0562385119374365
US_Stock_VGIT_adj_high,3.056134147383976
US_Stock_BSV_adj_low,3.054271994911257
US_Stock_BCS_adj_high,2.9609275786359324
US_Stock_BCS_adj_close,2.9442873891047654
US_Stock_BCS_adj_open,2.9332297483037566
US_Stock_BCS_adj_low,2.916960440792197
US_Stock_KGC_adj_high,2.8581297594826984
US_Stock_KGC_adj_close,2.821933037301093
US_Stock_KGC_adj_open,2.815212734306039
US_Stock_KGC_adj_low,2.7712030654390465
US_Stock_SHY_adj_high,2.663985805560858
US_Stock_SHY_adj_open,2.6636549715767845
US_Stock_SHY_adj_low,2.6620850393277107
US_Stock_SHY_adj_close,2.6620064259716867
US_Stock_IGSB_adj_open,2.6553333197080944
US_Stock_IGSB_adj_low,2.6530152971183654
US_Stock_IGSB_adj_high,2.6518292319130543
US_Stock_IGSB_adj_close,2.6512947039163324
US_Stock_VALE_adj_high,2.5234985025743413
US_Stock_VALE_adj_close,2.5042461450810594
US_Stock_VALE_adj_open,2.502168283544818
US_Stock_VALE_adj_low,2.479174161530117
US_Stock_BNDX_adj_low,2.3450456089696066
US_Stock_BNDX_adj_open,2.342429571372767
US_Stock_BNDX_adj_close,2.342384681342999
US_Stock_BNDX_adj_high,2.338187713306778
US_Stock_VGSH_adj_high,1.958232121281196
US_Stock_VGSH_adj_open,1.957473080286128
US_Stock_VGSH_adj_close,1.9571340623084474
US_Stock_VGSH_adj_low,1.9569673273459172
US_Stock_SPIB_adj_low,1.886083886184807
US_Stock_SPIB_adj_open,1.8848042656957154
US_Stock_SPIB_adj_close,1.880163735125185
US_Stock_SPIB_adj_high,1.8791352268565793
US_Stock_HL_adj_high,1.5927442299819639
US_Stock_HL_adj_close,1.5624429748828847
US_Stock_HL_adj_open,1.561729562704913
US_Stock_HL_adj_low,1.531117515469283
FX_NOKJPY,0.9690032304952946
FX_ZARJPY,0.6881821219741837
FX_GBPNZD,0.10086973939646861
FX_GBPAUD,0.08752970526377582
FX_GBPCHF,0.0762393748082941
FX_EURCHF,0.07530900686718106
FX_EURNZD,0.07241715817997393
FX_GBPCAD,0.0673692912627205
FX_EURAUD,0.06577905232028437
FX_GBPUSD,0.06140828884712198
FX_EURCAD,0.06068990849395137
FX_AUDCHF,0.05951633674576041
FX_NZDCHF,0.05928755951348909
FX_EURUSD,0.05673932828977594
FX_CADCHF,0.049469770781571464
FX_USDCHF,0.049172487808419714
FX_NZDUSD,0.0451683376781155
FX_AUDUSD,0.04424701675117297
FX_NZDCAD,0.03620526122193297
FX_AUDCAD,0.03268974599407938
FX_CADUSD,0.02850502992648405
FX_EURGBP,0.022079227799189728
FX_AUDNZD,0.021389061317134757
FX_NOKCHF,0.013947083159024562
FX_NOKUSD,0.011340698175252212
FX_ZARCHF,0.0098282250831686
FX_ZARUSD,0.008305973488821488
FX_NOKEUR,0.007140569983189549
FX_NOKGBP,0.007004836026624689
FX_ZAREUR,0.00575227768601739
FX_ZARGBP,0.00533787232511352
