,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
LME_AH_Close_vol10,0.05754464658556531,-0.10145340468421107,0.028196876268368823,0.12088066860831613,0.4001587088806277,0.09694279716077721,0.0002606310445302967,0.12020123226665062,-0.011429223824586205,-0.042940383374865505
LME_CA_Close_vol10,-0.0040972629706066115,-0.10046404431711861,0.2337581361120587,0.08310257340586064,0.2638128132777957,0.07013159390622899,0.014050334020292321,0.15779913880474025,-0.1266948153151054,0.019310186630271023
LME_PB_Close_vol10,-0.09948567144484911,-0.0030568739550481507,0.1973736478624153,0.05552709818646707,0.18567342167637307,0.09729988350487855,-0.03472943350833683,0.35423238461941825,-0.10176686239248177,0.12051204112631289
LME_ZS_Close_vol10,0.0021681343915203343,-0.07710787201013433,0.08321798144100266,0.06502066706760683,0.2893823227452472,0.06637511247041206,0.03742688030172768,0.4612551937731556,-0.20877041950208333,0.13738016044283524
JPX_Gold_Mini_Futures_Close_vol10,0.07303822054269656,-0.17399984903675458,0.36860896810562555,0.011465124911808238,-0.07388182195515415,0.0009866037190599092,0.013896742694577966,-0.0811972750207765,0.08305616145702625,0.008606782203298463
JPX_Gold_Rolling-Spot_Futures_Close_vol10,0.0628774184417025,-0.1650969014812136,0.37515315277777966,0.009863981300656952,-0.07470851276129235,0.005102428170907707,0.02686743881016166,-0.0754670215855913,0.07711478211927109,0.00010804243801125638
JPX_Gold_Standard_Futures_Close_vol10,0.07275096133831004,-0.17168674690533328,0.36998743896461983,0.011911540229969438,-0.07606702699044107,0.0025655702358899205,0.013823297354124402,-0.08622927417398533,0.07999453908137787,0.009041148824312574
JPX_Platinum_Mini_Futures_Close_vol10,0.01642026322573512,-0.11656989429340814,0.3705933421609436,0.045703513442243236,0.0475875933705536,0.06575378093701192,0.05256910572699688,-0.09261767523890496,0.02525025392648496,-0.08063778290320267
JPX_Platinum_Standard_Futures_Close_vol10,0.010861321540694678,-0.11198233716573304,0.3713633039040696,0.043616886972218806,0.04785964915298221,0.06783154453763833,0.05736612171806988,-0.0957362713029716,0.020477206840250752,-0.08659930558336319
JPX_RSS3_Rubber_Futures_Close_vol10,0.012760861796905216,-0.04620862006819943,0.14074192208399222,-0.008913490998455509,-0.08167863502116261,-0.006468382620354591,-0.1174580861794506,-0.39255914361465444,0.044586588039794504,-0.13592468275129257
LME_AH_Close_mom5,0.08693739260358077,0.14308684310932634,0.02270923250792433,0.2949179374193135,-0.10356005616375924,0.004594087163349983,0.03746414812452793,-0.06709590872205805,0.139585258013721,0.2738570901988475
LME_CA_Close_mom5,0.11589294199602602,0.19834812440041652,0.030311301167808252,0.2898246527521879,-0.11600032858379002,0.060093185760491254,0.054551382881653246,-0.01485452609257472,0.11224779332224394,0.17364950183622055
LME_PB_Close_mom5,0.09234222777210073,0.14806243810071681,0.042602379726749136,0.2576810363168488,-0.06776883066464379,0.07037057745083726,0.07662990738812293,-0.007438511313285095,-0.012484305503143351,0.4094838493552043
LME_ZS_Close_mom5,0.10967683336439638,0.16081459610122573,0.04746341743786045,0.31877140947759375,-0.07133283771984468,0.07046474208040351,0.0625840810463232,-0.06469657577737015,0.1279834091376402,0.3133121656780999
JPX_Gold_Mini_Futures_Close_mom5,0.18907327262770504,0.19913008169359694,0.049091652412104746,-0.13084114746519857,-0.030410385729447802,0.34688192067799856,-0.24438615160172536,0.06538979244051914,0.03473404601667212,-0.1093501569899545
JPX_Gold_Rolling-Spot_Futures_Close_mom5,0.18822387341570188,0.19598993684630955,0.048180627162151816,-0.1335740105992591,-0.03160256814677191,0.34382729411829854,-0.24280424519665653,0.0639011535036323,0.034318370873155944,-0.11076531672969278
JPX_Gold_Standard_Futures_Close_mom5,0.1889424059042311,0.1990957962235651,0.04904443493047813,-0.1311315059090242,-0.030008801503658346,0.3466919449729603,-0.24462800142346047,0.06557576163503896,0.034863321544134046,-0.10866939753939207
JPX_Platinum_Mini_Futures_Close_mom5,0.1626456312790702,0.21876093661938242,0.032440170067832994,-0.0011409924250617457,-0.050451818088159336,0.22581146532596008,0.31081552387252026,-0.08560430882001532,-0.2773207417586265,-0.12646434040215113
JPX_Platinum_Standard_Futures_Close_mom5,0.16287285131709037,0.21944550880053262,0.03271695827458767,-0.0011120108122867488,-0.05042648357698222,0.2239917664309583,0.31136377817349326,-0.08480289087093731,-0.2765385773728115,-0.12645730954890058
JPX_RSS3_Rubber_Futures_Close_mom5,0.05892948618706124,0.09957748199946996,-0.023779036155450906,0.10770445658547799,-0.05237063628116337,0.04068305789097912,0.32612322774407587,0.2722199450379639,0.4625104980900858,-0.1896425967328446
LME_AH_Close_z,0.22950156492699592,-0.1374201860987443,-0.11459916230455897,0.13076346400953662,0.28974142112992785,0.041215387826879,-0.031117468692313754,-0.13483077554807615,0.0711083360621311,-0.04182637676564105
LME_CA_Close_z,0.2779431133368037,-0.16366510727233477,-0.10427059808074723,0.0867010209679448,0.1505571817634747,-0.005704185918277635,-0.013239365674037816,-0.11436322015247222,0.05343842329876285,-0.03886463693726593
LME_PB_Close_z,0.07640590282398758,-0.007811966668561484,-0.18634180611010678,0.16524954511440856,0.3184562763714765,0.06079945190473564,-0.021104074339165113,-0.26987165896878235,0.09281046434829618,-0.024534008739212305
LME_ZS_Close_z,0.12704693836098266,-0.07561145109785254,-0.12416207653160422,0.151674248320839,0.3822821250366537,0.08364781352026088,-0.022362084411018567,-0.23266536208081687,0.08477400241213016,-0.11063906664237462
JPX_Gold_Mini_Futures_Close_z,0.2912453054544924,-0.17855188674085146,-0.033906230031000115,-0.0733686860246639,-0.16769411026760112,-0.0761299067169011,-0.003991079349358629,0.11306854636392928,-0.0492232470028189,0.054691128339606196
JPX_Gold_Rolling-Spot_Futures_Close_z,0.29042049401807074,-0.17873409637891713,-0.03401051613330663,-0.07317664490128802,-0.16933310904315024,-0.07748923335241549,-0.0033089269874164483,0.11004522787040494,-0.0494607673814085,0.05456677051007535
JPX_Gold_Standard_Futures_Close_z,0.2912465382810263,-0.17854834211341553,-0.033897474327757145,-0.07338264958528391,-0.16769457407034968,-0.07611553681695099,-0.003986868020756404,0.11307278606249545,-0.04920321987822625,0.054712794239810306
JPX_Platinum_Mini_Futures_Close_z,0.2985149526990084,-0.15743957534617573,-0.11226781420703533,-0.018973903520389294,-0.030866859875592442,-0.04454847268110465,0.05225718025037387,0.08278141104162179,-0.08045735964322014,0.03491859476100892
JPX_Platinum_Standard_Futures_Close_z,0.29868894039205324,-0.15752638226804344,-0.11192734685962902,-0.019107487094302017,-0.031374973771963494,-0.04506585083681138,0.05218011152605872,0.0826299814969584,-0.08043903299445618,0.03519912416027785
JPX_RSS3_Rubber_Futures_Close_z,0.28541061289669356,-0.17031489526122545,-0.07541412724288586,-0.024201998074783456,-0.07018520600033809,-0.05768945608912596,-0.01467194961955195,0.01620590670191191,0.06421887403122101,-0.010421411324635707
